protein_id,contig_id,keywords
CP067347_0077,CP067347,none
CP067347_0078,CP067347,none
CP067347_0079,CP067347,none
CP067347_0080,CP067347,none
CP067347_0081,CP067347,none
CP067347_0082,CP067347,none
CP067347_0083,CP067347,none
CP067347_0084,CP067347,none
CP067347_0085,CP067347,none
CP067347_0086,CP067347,none
CP067347_0087,CP067347,none
CP067347_0088,CP067347,none
CP067347_0089,CP067347,none
CP067347_0090,CP067347,none
CP067347_0091,CP067347,none
CP067347_0092,CP067347,none
CP067347_0093,CP067347,none
CP067347_0094,CP067347,none
CP067347_0095,CP067347,none
CP067347_0096,CP067347,none
CP067347_0097,CP067347,none
CP067347_0098,CP067347,none
CP067347_0099,CP067347,none
CP067347_0100,CP067347,none
CP067347_0101,CP067347,none
CP067347_0102,CP067347,none
CP067347_0103,CP067347,none
CP067347_0104,CP067347,none
CP067347_0105,CP067347,none
CP067347_0106,CP067347,none
CP067347_0107,CP067347,none
CP067347_0108,CP067347,none
CP067347_0109,CP067347,none
CP067347_0110,CP067347,none
CP067347_0111,CP067347,none
CP067347_0112,CP067347,none
CP067347_0113,CP067347,none
CP067347_0114,CP067347,none
CP067347_0115,CP067347,none
CP067347_0116,CP067347,none
CP067347_0117,CP067347,none
CP067347_0118,CP067347,none
CP067347_0119,CP067347,none
CP067347_0120,CP067347,none
CP067347_0121,CP067347,none
CP067347_0122,CP067347,none
CP067347_0123,CP067347,none
CP067347_0124,CP067347,none
CP067347_0125,CP067347,none
CP067347_0126,CP067347,none
CP067347_0127,CP067347,none
CP067347_0128,CP067347,none
CP067347_0129,CP067347,none
CP067347_0130,CP067347,none
CP067347_0131,CP067347,none
CP067347_0132,CP067347,none
CP067347_0133,CP067347,none
CP067347_0134,CP067347,none
CP067347_0135,CP067347,none
CP067347_0136,CP067347,none
CP067347_0137,CP067347,none
CP067347_0138,CP067347,none
CP067347_0139,CP067347,none
CP067347_0140,CP067347,none
CP067347_0141,CP067347,none
CP067347_0142,CP067347,none
CP067347_0143,CP067347,none
CP067347_0144,CP067347,none
CP067347_0145,CP067347,none
CP067347_0146,CP067347,none
CP067347_0147,CP067347,none
CP067347_0148,CP067347,none
CP067347_0149,CP067347,none
CP067347_0150,CP067347,none
CP067347_0151,CP067347,none
CP067347_0152,CP067347,none
CP067347_0153,CP067347,none
CP067347_0154,CP067347,none
CP067347_0155,CP067347,none
CP067347_0156,CP067347,none
CP067347_0157,CP067347,none
CP067347_0158,CP067347,none
CP067347_0159,CP067347,none
CP067347_0160,CP067347,none
CP067347_0161,CP067347,none
CP067347_0162,CP067347,none
CP067347_0163,CP067347,none
CP067347_0164,CP067347,none
CP067347_0165,CP067347,none
CP067347_0166,CP067347,none
CP067347_0167,CP067347,none
CP067347_0168,CP067347,none
CP067347_0169,CP067347,none
CP067347_0170,CP067347,none
CP067347_0171,CP067347,none
CP067347_0172,CP067347,none
CP067347_0173,CP067347,none
CP067347_0174,CP067347,none
CP067347_0175,CP067347,none
CP067347_0176,CP067347,none
CP067347_0177,CP067347,none
CP067347_0178,CP067347,none
CP067347_0179,CP067347,none
CP067347_0180,CP067347,none
CP067347_0181,CP067347,none
CP067347_0182,CP067347,none
CP067347_0183,CP067347,none
CP067347_0184,CP067347,none
CP067352_0001,CP067352,none
CP067352_0002,CP067352,none
CP067352_0003,CP067352,none
CP067352_0004,CP067352,none
CP067352_0005,CP067352,none
CP067352_0006,CP067352,none
CP067352_0007,CP067352,none
CP067352_0008,CP067352,none
CP067352_0009,CP067352,none
CP067352_0010,CP067352,none
CP067352_0011,CP067352,none
CP067352_0012,CP067352,none
CP067352_0013,CP067352,none
CP067352_0014,CP067352,none
CP067352_0015,CP067352,none
CP067352_0016,CP067352,none
CP067352_0017,CP067352,none
CP067352_0018,CP067352,none
CP067352_0019,CP067352,none
CP067352_0020,CP067352,none
CP067352_0021,CP067352,none
CP067352_0022,CP067352,none
CP067352_0023,CP067352,none
CP067352_0024,CP067352,none
CP067352_0025,CP067352,none
CP067352_0026,CP067352,none
CP067352_0027,CP067352,none
CP067352_0028,CP067352,none
CP067352_0029,CP067352,none
CP067352_0030,CP067352,none
CP067352_0031,CP067352,none
CP067352_0032,CP067352,none
CP067352_0033,CP067352,none
CP067352_0034,CP067352,none
CP067352_0035,CP067352,none
CP067352_0036,CP067352,none
CP067352_0037,CP067352,none
CP067352_0038,CP067352,none
CP067352_0039,CP067352,none
CP067352_0040,CP067352,none
CP067352_0041,CP067352,none
CP067352_0042,CP067352,none
CP067352_0043,CP067352,none
CP067352_0044,CP067352,none
CP067352_0045,CP067352,none
CP067352_0046,CP067352,none
CP067352_0047,CP067352,none
CP067352_0048,CP067352,none
CP067352_0049,CP067352,none
CP067352_0050,CP067352,none
CP067352_0051,CP067352,none
CP067352_0052,CP067352,none
CP067352_0053,CP067352,none
CP067352_0054,CP067352,none
CP067352_0055,CP067352,none
CP067352_0056,CP067352,none
CP067352_0057,CP067352,none
CP067352_0058,CP067352,none
CP067352_0059,CP067352,none
CP067352_0060,CP067352,none
CP067352_0061,CP067352,none
CP067352_0062,CP067352,none
CP067352_0063,CP067352,none
CP067352_0064,CP067352,none
CP067352_0065,CP067352,none
CP067352_0066,CP067352,none
CP067352_0067,CP067352,none
CP067352_0068,CP067352,none
CP067352_0069,CP067352,none
CP067352_0070,CP067352,none
CP067352_0071,CP067352,none
CP067352_0072,CP067352,none
CP067352_0073,CP067352,none
CP067352_0074,CP067352,none
CP067352_0075,CP067352,none
CP067352_0076,CP067352,none
CP067352_0077,CP067352,none
CP067352_0078,CP067352,none
CP067352_0079,CP067352,none
CP067352_0080,CP067352,none
CP067352_0081,CP067352,none
CP067352_0082,CP067352,none
CP067352_0083,CP067352,none
CP067352_0084,CP067352,none
CP067352_0085,CP067352,none
CP067352_0086,CP067352,none
CP067352_0087,CP067352,none
CP067352_0088,CP067352,none
CP067352_0089,CP067352,none
CP067352_0090,CP067352,none
CP067352_0091,CP067352,none
CP067352_0092,CP067352,none
CP067352_0093,CP067352,none
CP067352_0094,CP067352,none
CP067352_0095,CP067352,none
CP067352_0096,CP067352,none
CP067352_0097,CP067352,none
CP067352_0098,CP067352,none
CP067352_0099,CP067352,none
CP067352_0100,CP067352,none
CP067352_0101,CP067352,none
CP067352_0102,CP067352,none
CP067352_0103,CP067352,none
CP067352_0104,CP067352,none
CP067352_0105,CP067352,none
CP067352_0106,CP067352,none
CP067352_0107,CP067352,none
CP067352_0108,CP067352,none
CP067352_0109,CP067352,none
CP067352_0110,CP067352,none
CP067352_0111,CP067352,none
CP067352_0112,CP067352,none
CP067352_0113,CP067352,none
CP067352_0114,CP067352,none
CP067352_0115,CP067352,none
CP067352_0116,CP067352,none
CP067352_0117,CP067352,none
CP067352_0118,CP067352,none
CP067352_0119,CP067352,none
CP067352_0120,CP067352,none
CP067352_0121,CP067352,none
CP067352_0122,CP067352,none
CP067352_0123,CP067352,none
CP067352_0124,CP067352,none
CP067352_0125,CP067352,none
CP067352_0126,CP067352,none
CP067352_0127,CP067352,none
CP067352_0128,CP067352,none
CP067352_0129,CP067352,none
CP067352_0130,CP067352,none
CP067352_0131,CP067352,none
CP067352_0132,CP067352,none
CP067352_0133,CP067352,none
CP067352_0134,CP067352,none
CP067352_0135,CP067352,none
CP067352_0136,CP067352,none
CP067352_0137,CP067352,none
CP067352_0138,CP067352,none
CP067352_0139,CP067352,none
CP067352_0140,CP067352,none
CP103806_0001,CP103806,none
CP103806_0002,CP103806,none
CP103806_0003,CP103806,none
CP103806_0004,CP103806,none
CP103806_0005,CP103806,none
CP103806_0006,CP103806,none
CP103806_0007,CP103806,none
CP103806_0008,CP103806,none
CP103806_0009,CP103806,none
CP103806_0010,CP103806,none
CP103806_0011,CP103806,none
CP103806_0012,CP103806,none
CP103806_0013,CP103806,none
CP103806_0014,CP103806,none
CP103806_0015,CP103806,none
CP103806_0016,CP103806,none
CP103806_0017,CP103806,none
CP103806_0018,CP103806,none
CP103806_0019,CP103806,none
CP103806_0020,CP103806,none
CP103806_0021,CP103806,none
CP103806_0022,CP103806,none
CP103806_0023,CP103806,none
CP103806_0024,CP103806,none
CP103806_0025,CP103806,none
CP103806_0026,CP103806,none
CP103806_0027,CP103806,none
CP103806_0028,CP103806,none
CP103806_0029,CP103806,none
CP103806_0030,CP103806,none
CP103806_0031,CP103806,none
CP103806_0032,CP103806,none
CP103806_0033,CP103806,none
CP103806_0034,CP103806,none
CP103806_0035,CP103806,none
CP103806_0036,CP103806,none
CP103806_0037,CP103806,none
CP103806_0038,CP103806,none
CP103806_0039,CP103806,none
CP103806_0040,CP103806,none
CP103806_0041,CP103806,none
CP103806_0042,CP103806,none
CP103806_0043,CP103806,none
CP103806_0044,CP103806,none
CP103806_0045,CP103806,none
CP103806_0046,CP103806,none
CP103806_0047,CP103806,none
CP103806_0048,CP103806,none
CP103976_0001,CP103976,none
CP103976_0002,CP103976,none
CP103976_0003,CP103976,none
CP103976_0004,CP103976,none
CP103976_0005,CP103976,none
CP103976_0006,CP103976,none
CP103976_0007,CP103976,none
CP103976_0008,CP103976,none
CP103976_0009,CP103976,none
CP103976_0010,CP103976,none
CP103976_0011,CP103976,none
CP103976_0012,CP103976,none
CP103976_0013,CP103976,none
CP103976_0014,CP103976,none
CP103976_0015,CP103976,none
CP103976_0016,CP103976,none
CP103976_0017,CP103976,none
CP103976_0018,CP103976,none
CP103976_0019,CP103976,none
CP103976_0020,CP103976,none
CP103976_0021,CP103976,none
CP103976_0022,CP103976,none
CP103976_0023,CP103976,none
CP103976_0024,CP103976,none
CP103976_0025,CP103976,none
CP103976_0026,CP103976,none
CP103976_0027,CP103976,none
CP103976_0028,CP103976,none
CP103976_0029,CP103976,none
CP103976_0030,CP103976,none
CP103976_0031,CP103976,none
CP103976_0032,CP103976,none
CP103976_0033,CP103976,none
CP103976_0034,CP103976,none
CP103976_0035,CP103976,none
CP103976_0036,CP103976,none
CP103976_0037,CP103976,none
CP103976_0038,CP103976,none
CP103976_0039,CP103976,none
CP103976_0040,CP103976,none
CP103976_0041,CP103976,none
CP103976_0042,CP103976,none
CP103976_0043,CP103976,none
CP103976_0044,CP103976,none
CP103976_0045,CP103976,none
CP103976_0046,CP103976,none
CP103976_0047,CP103976,none
CP103976_0048,CP103976,none
CP103976_0049,CP103976,none
CP103976_0050,CP103976,none
CP103976_0051,CP103976,none
CP103976_0052,CP103976,none
CP103976_0053,CP103976,none
CP103976_0054,CP103976,none
CP103976_0055,CP103976,none
CP103976_0056,CP103976,none
CP103976_0057,CP103976,none
CP103976_0058,CP103976,none
CP103976_0059,CP103976,none
CP103976_0060,CP103976,none
CP103976_0061,CP103976,none
CP103976_0062,CP103976,none
CP103976_0063,CP103976,none
CP103976_0064,CP103976,none
CP103976_0065,CP103976,none
CP103976_0066,CP103976,none
CP103976_0067,CP103976,none
CP103976_0068,CP103976,none
CP103976_0069,CP103976,none
CP103976_0070,CP103976,none
CP103976_0071,CP103976,none
CP103976_0072,CP103976,none
CP103976_0073,CP103976,none
CP103976_0074,CP103976,none
CP103976_0075,CP103976,none
CP103976_0076,CP103976,none
CP103976_0077,CP103976,none
CP103976_0078,CP103976,none
CP103976_0079,CP103976,none
CP103976_0080,CP103976,none
CP103976_0081,CP103976,none
CP103976_0082,CP103976,none
MK473382_0001,MK473382,none
MK473382_0002,MK473382,none
MK473382_0003,MK473382,none
MK473382_0004,MK473382,none
MK473382_0005,MK473382,none
MK473382_0006,MK473382,none
MK473382_0007,MK473382,none
MK473382_0008,MK473382,none
MK473382_0009,MK473382,none
MK473382_0010,MK473382,none
MK473382_0011,MK473382,none
MK473382_0012,MK473382,none
MK473382_0013,MK473382,none
MK473382_0014,MK473382,none
MK473382_0015,MK473382,none
MK473382_0016,MK473382,none
MK473382_0017,MK473382,none
MK473382_0018,MK473382,none
MK473382_0019,MK473382,none
MK473382_0020,MK473382,none
MK473382_0021,MK473382,none
MK473382_0022,MK473382,none
MK473382_0023,MK473382,none
MK473382_0024,MK473382,none
MK473382_0025,MK473382,none
MK473382_0026,MK473382,none
MK473382_0027,MK473382,none
MK473382_0028,MK473382,none
MK473382_0029,MK473382,none
MK473382_0030,MK473382,none
MK473382_0031,MK473382,none
MK473382_0032,MK473382,none
MK473382_0033,MK473382,none
MK473382_0034,MK473382,none
MK473382_0035,MK473382,none
MK473382_0036,MK473382,none
MK473382_0037,MK473382,none
MK473382_0038,MK473382,none
MK473382_0039,MK473382,none
MK473382_0040,MK473382,none
MK473382_0041,MK473382,none
MK473382_0042,MK473382,none
MK473382_0043,MK473382,none
MK473382_0044,MK473382,none
MK473382_0045,MK473382,none
MK473382_0046,MK473382,none
MK473382_0047,MK473382,none
MK473382_0048,MK473382,none
MK473382_0049,MK473382,none
MK473382_0050,MK473382,none
MK473382_0051,MK473382,none
MK473382_0052,MK473382,none
MK473382_0053,MK473382,none
MK473382_0054,MK473382,none
MT193276_0001,MT193276,none
MT193276_0002,MT193276,none
MT193276_0003,MT193276,none
MT193276_0004,MT193276,none
MT193276_0005,MT193276,none
MT193276_0006,MT193276,none
MT193276_0007,MT193276,none
MT193276_0008,MT193276,none
MT193276_0009,MT193276,none
MT193276_0010,MT193276,none
MT193276_0011,MT193276,none
MT193276_0012,MT193276,none
MT193276_0013,MT193276,none
MT193276_0014,MT193276,none
MT193276_0015,MT193276,none
MT193276_0016,MT193276,none
MT193276_0017,MT193276,none
MT193276_0018,MT193276,none
MT193276_0019,MT193276,none
MT193276_0020,MT193276,none
MT193276_0021,MT193276,none
MT193276_0022,MT193276,none
MT193276_0023,MT193276,none
MT193276_0024,MT193276,none
MT193276_0025,MT193276,none
MT193276_0026,MT193276,none
MT193276_0027,MT193276,none
MT193276_0028,MT193276,none
MT193276_0029,MT193276,none
MT193276_0030,MT193276,none
MT193276_0031,MT193276,none
MT193276_0032,MT193276,none
MT193276_0033,MT193276,none
MT193276_0034,MT193276,none
MT193276_0035,MT193276,none
MT193276_0036,MT193276,none
MT193276_0037,MT193276,none
MT193276_0038,MT193276,none
MT193276_0039,MT193276,none
MT193276_0040,MT193276,none
MT193276_0041,MT193276,none
MT193276_0042,MT193276,none
MT193276_0043,MT193276,none
MT193276_0044,MT193276,none
MT193276_0045,MT193276,none
MT193276_0046,MT193276,none
MT193276_0047,MT193276,none
MT193276_0048,MT193276,none
MT193276_0049,MT193276,none
MT193276_0050,MT193276,none
MT193276_0051,MT193276,none
MT193276_0052,MT193276,none
MT193276_0053,MT193276,none
MF547663_0001,MF547663,none
MF547663_0002,MF547663,none
MF547663_0003,MF547663,none
MF547663_0004,MF547663,none
MF547663_0005,MF547663,none
MF547663_0006,MF547663,none
MF547663_0007,MF547663,none
MF547663_0008,MF547663,none
MF547663_0009,MF547663,none
MF547663_0010,MF547663,none
MF547663_0011,MF547663,none
MF547663_0012,MF547663,none
MF547663_0013,MF547663,none
MF547663_0014,MF547663,none
MF547663_0015,MF547663,none
MF547663_0016,MF547663,none
MF547663_0017,MF547663,none
MF547663_0018,MF547663,none
MF547663_0019,MF547663,none
MF547663_0020,MF547663,none
MF547663_0021,MF547663,none
MF547663_0022,MF547663,none
MF547663_0023,MF547663,none
MF547663_0024,MF547663,none
MF547663_0025,MF547663,none
MF547663_0026,MF547663,none
MF547663_0027,MF547663,none
MF547663_0028,MF547663,none
MF547663_0029,MF547663,none
MF547663_0030,MF547663,none
MF547663_0031,MF547663,none
MF547663_0032,MF547663,none
MF547663_0033,MF547663,none
MF547663_0034,MF547663,none
MF547663_0035,MF547663,none
MF547663_0036,MF547663,none
MF547663_0037,MF547663,none
MF547663_0038,MF547663,none
MF547663_0039,MF547663,none
MF547663_0040,MF547663,none
MF547663_0041,MF547663,none
MF547663_0042,MF547663,none
MF547663_0043,MF547663,none
MF547663_0044,MF547663,none
MF547663_0045,MF547663,none
MF547663_0046,MF547663,none
MF547663_0047,MF547663,none
MF547663_0048,MF547663,none
MF547663_0049,MF547663,none
MF547663_0050,MF547663,none
MF547663_0051,MF547663,none
MF547663_0052,MF547663,none
MF547663_0053,MF547663,none
MF547663_0054,MF547663,none
MF547663_0055,MF547663,none
MF547663_0056,MF547663,none
MF547663_0057,MF547663,none
MF547663_0058,MF547663,none
MF547663_0059,MF547663,none
MF547663_0060,MF547663,none
MF547663_0061,MF547663,none
MF547663_0062,MF547663,none
MF547663_0063,MF547663,none
MF547663_0064,MF547663,none
MF547663_0065,MF547663,none
MF547663_0066,MF547663,none
MF547663_0067,MF547663,none
MF547663_0068,MF547663,none
MF547663_0069,MF547663,none
MF547663_0070,MF547663,none
MF547663_0071,MF547663,none
MF547663_0072,MF547663,none
MF547663_0073,MF547663,none
MF547663_0074,MF547663,none
MF547663_0075,MF547663,none
MF547663_0076,MF547663,none
MF547663_0077,MF547663,none
MF547663_0078,MF547663,none
MF547663_0079,MF547663,none
MF547663_0080,MF547663,none
MF547663_0081,MF547663,none
MF547663_0082,MF547663,none
MF547663_0083,MF547663,none
MF547663_0084,MF547663,none
MF547663_0085,MF547663,none
MF547663_0086,MF547663,none
MF547663_0087,MF547663,none
MF547663_0088,MF547663,none
MF547663_0089,MF547663,none
MF547663_0090,MF547663,none
MF547663_0091,MF547663,none
MF547663_0092,MF547663,none
MF547663_0093,MF547663,none
MF547663_0094,MF547663,none
MF547663_0095,MF547663,none
MF547663_0096,MF547663,none
MF547663_0097,MF547663,none
MF547663_0098,MF547663,none
MF547663_0099,MF547663,none
MF547663_0100,MF547663,none
MF547663_0101,MF547663,none
MF547663_0102,MF547663,none
MF547663_0103,MF547663,none
MF547663_0104,MF547663,none
MF547663_0105,MF547663,none
MF547663_0106,MF547663,none
MF547663_0107,MF547663,none
MF547663_0108,MF547663,none
MF547663_0109,MF547663,none
MF547663_0110,MF547663,none
MF547663_0111,MF547663,none
MF547663_0112,MF547663,none
MF547663_0113,MF547663,none
MF547663_0114,MF547663,none
MF547663_0115,MF547663,none
MF547663_0116,MF547663,none
MF547663_0117,MF547663,none
MF547663_0118,MF547663,none
MF547663_0119,MF547663,none
MF547663_0120,MF547663,none
MF547663_0121,MF547663,none
MF547663_0122,MF547663,none
MF547663_0123,MF547663,none
MF547663_0124,MF547663,none
MF547663_0125,MF547663,none
MF547663_0126,MF547663,none
MF547663_0127,MF547663,none
MF547663_0128,MF547663,none
MF547663_0129,MF547663,none
MF547663_0130,MF547663,none
MF547663_0131,MF547663,none
MF547663_0132,MF547663,none
MF547663_0133,MF547663,none
MF547663_0134,MF547663,none
MF547663_0135,MF547663,none
MF547663_0136,MF547663,none
MF547663_0137,MF547663,none
MF547663_0138,MF547663,none
MF547663_0139,MF547663,none
MF547663_0140,MF547663,none
MF547663_0141,MF547663,none
MF547663_0142,MF547663,none
MF547663_0143,MF547663,none
MF547663_0144,MF547663,none
MF547663_0145,MF547663,none
MF547663_0146,MF547663,none
MF547663_0147,MF547663,none
MF547663_0148,MF547663,none
MF547663_0149,MF547663,none
MF547663_0150,MF547663,none
MF547663_0151,MF547663,none
MF547663_0152,MF547663,none
MF547663_0153,MF547663,none
MF547663_0154,MF547663,none
MF547663_0155,MF547663,none
MF547663_0156,MF547663,none
MF547663_0157,MF547663,none
MF547663_0158,MF547663,none
MF547663_0159,MF547663,none
MF547663_0160,MF547663,none
MF547663_0161,MF547663,none
MF547663_0162,MF547663,none
MF547663_0163,MF547663,none
MF547663_0164,MF547663,none
MF547663_0165,MF547663,none
MF547663_0166,MF547663,none
MF547663_0167,MF547663,none
MF547663_0168,MF547663,none
MF547663_0169,MF547663,none
MF547663_0170,MF547663,none
MF547663_0171,MF547663,none
MF547663_0172,MF547663,none
MF547662_0001,MF547662,none
MF547662_0002,MF547662,none
MF547662_0003,MF547662,none
MF547662_0004,MF547662,none
MF547662_0005,MF547662,none
MF547662_0006,MF547662,none
MF547662_0007,MF547662,none
MF547662_0008,MF547662,none
MF547662_0009,MF547662,none
MF547662_0010,MF547662,none
MF547662_0011,MF547662,none
MF547662_0012,MF547662,none
MF547662_0013,MF547662,none
MF547662_0014,MF547662,none
MF547662_0015,MF547662,none
MF547662_0016,MF547662,none
MF547662_0017,MF547662,none
MF547662_0018,MF547662,none
MF547662_0019,MF547662,none
MF547662_0020,MF547662,none
MF547662_0021,MF547662,none
MF547662_0022,MF547662,none
MF547662_0023,MF547662,none
MF547662_0024,MF547662,none
MF547662_0025,MF547662,none
MF547662_0026,MF547662,none
MF547662_0027,MF547662,none
MF547662_0028,MF547662,none
MF547662_0029,MF547662,none
MF547662_0030,MF547662,none
MF547662_0031,MF547662,none
MF547662_0032,MF547662,none
MF547662_0033,MF547662,none
MF547662_0034,MF547662,none
MF547662_0035,MF547662,none
MF547662_0036,MF547662,none
MF547662_0037,MF547662,none
MF547662_0038,MF547662,none
MF547662_0039,MF547662,none
MF547662_0040,MF547662,none
MF547662_0041,MF547662,none
MF547662_0042,MF547662,none
MF547662_0043,MF547662,none
MF547662_0044,MF547662,none
MF547662_0045,MF547662,none
MF547662_0046,MF547662,none
MF547662_0047,MF547662,none
MF547662_0048,MF547662,none
MF547662_0049,MF547662,none
MF547662_0050,MF547662,none
MF547662_0051,MF547662,none
MF547662_0052,MF547662,none
MF547662_0053,MF547662,none
MF547662_0054,MF547662,none
MF547662_0055,MF547662,none
MF547662_0056,MF547662,none
MF547662_0057,MF547662,none
MF547662_0058,MF547662,none
MF547662_0059,MF547662,none
MF547662_0060,MF547662,none
MF547662_0061,MF547662,none
MF547662_0062,MF547662,none
MF547662_0063,MF547662,none
MF547662_0064,MF547662,none
MF547662_0065,MF547662,none
MF547662_0066,MF547662,none
MF547662_0067,MF547662,none
MF547662_0068,MF547662,none
MF547662_0069,MF547662,none
MF547662_0070,MF547662,none
MF547662_0071,MF547662,none
MF547662_0072,MF547662,none
MF547662_0073,MF547662,none
MF547662_0074,MF547662,none
MF547662_0075,MF547662,none
MF547662_0076,MF547662,none
MF547662_0077,MF547662,none
MF547662_0078,MF547662,none
MF547662_0079,MF547662,none
MF547662_0080,MF547662,none
MF547662_0081,MF547662,none
MF547662_0082,MF547662,none
MF547662_0083,MF547662,none
MF547662_0084,MF547662,none
MF547662_0085,MF547662,none
MF547662_0086,MF547662,none
MF547662_0087,MF547662,none
MF547662_0088,MF547662,none
MF547662_0089,MF547662,none
MF547662_0090,MF547662,none
MF547662_0091,MF547662,none
MF547662_0092,MF547662,none
MF547662_0093,MF547662,none
MF547662_0094,MF547662,none
MF547662_0095,MF547662,none
MF547662_0096,MF547662,none
MF547662_0097,MF547662,none
MF547662_0098,MF547662,none
MF547662_0099,MF547662,none
MF547662_0100,MF547662,none
MF547662_0101,MF547662,none
MF547662_0102,MF547662,none
MF547662_0103,MF547662,none
MF547662_0104,MF547662,none
MF547662_0105,MF547662,none
MF547662_0106,MF547662,none
MF547662_0107,MF547662,none
MF547662_0108,MF547662,none
MF547662_0109,MF547662,none
MF547662_0110,MF547662,none
MF547662_0111,MF547662,none
MF547662_0112,MF547662,none
MF547662_0113,MF547662,none
MF547662_0114,MF547662,none
MF547662_0115,MF547662,none
MF547662_0116,MF547662,none
MF547662_0117,MF547662,none
MF547662_0118,MF547662,none
MF547662_0119,MF547662,none
MF547662_0120,MF547662,none
MF547662_0121,MF547662,none
MF547662_0122,MF547662,none
MF547662_0123,MF547662,none
MF547662_0124,MF547662,none
MF547662_0125,MF547662,none
MF547662_0126,MF547662,none
MF547662_0127,MF547662,none
MF547662_0128,MF547662,none
MF547662_0129,MF547662,none
MF547662_0130,MF547662,none
MF547662_0131,MF547662,none
MF547662_0132,MF547662,none
MF547662_0133,MF547662,none
MF547662_0134,MF547662,none
MF547662_0135,MF547662,none
MF547662_0136,MF547662,none
MF547662_0137,MF547662,none
MF547662_0138,MF547662,none
MF547662_0139,MF547662,none
MF547662_0140,MF547662,none
MF547662_0141,MF547662,none
MF547662_0142,MF547662,none
MF547662_0143,MF547662,none
MF547662_0144,MF547662,none
MF547662_0145,MF547662,none
MF547662_0146,MF547662,none
MF547662_0147,MF547662,none
MF547662_0148,MF547662,none
MF547662_0149,MF547662,none
MF547662_0150,MF547662,none
MF547662_0151,MF547662,none
MF547662_0152,MF547662,none
MF547662_0153,MF547662,none
MF547662_0154,MF547662,none
MF547662_0155,MF547662,none
MF547662_0156,MF547662,none
MF547662_0157,MF547662,none
MF547662_0158,MF547662,none
MF547662_0159,MF547662,none
MF547662_0160,MF547662,none
MF547662_0161,MF547662,none
MF547662_0162,MF547662,none
MF547662_0163,MF547662,none
MF547662_0164,MF547662,none
MF547662_0165,MF547662,none
MF547662_0166,MF547662,none
MF547662_0167,MF547662,none
MF547662_0168,MF547662,none
MF547662_0169,MF547662,none
MF547662_0170,MF547662,none
MF547662_0171,MF547662,none
MF547662_0172,MF547662,none
MF547662_0173,MF547662,none
CP069348_0001,CP069348,none
CP069348_0002,CP069348,none
CP069348_0003,CP069348,none
CP069348_0004,CP069348,none
CP069348_0005,CP069348,none
CP069348_0006,CP069348,none
CP069348_0007,CP069348,none
CP069348_0008,CP069348,none
CP069348_0009,CP069348,none
CP069348_0010,CP069348,none
CP069348_0011,CP069348,none
CP069348_0012,CP069348,none
CP069348_0013,CP069348,none
CP069348_0014,CP069348,none
CP069348_0015,CP069348,none
CP069348_0016,CP069348,none
CP069348_0017,CP069348,none
CP069348_0018,CP069348,none
CP069348_0019,CP069348,none
CP069348_0020,CP069348,none
CP069348_0021,CP069348,none
CP069348_0022,CP069348,none
CP069348_0023,CP069348,none
CP069348_0024,CP069348,none
CP069348_0025,CP069348,none
CP069348_0026,CP069348,none
CP069348_0027,CP069348,none
CP069348_0028,CP069348,none
CP069348_0029,CP069348,none
CP069348_0030,CP069348,none
CP069348_0031,CP069348,none
CP069348_0032,CP069348,none
CP069348_0033,CP069348,none
CP069348_0034,CP069348,none
CP069348_0035,CP069348,none
CP069348_0036,CP069348,none
CP069348_0037,CP069348,none
CP069348_0038,CP069348,none
CP069348_0039,CP069348,none
CP069348_0040,CP069348,none
CP069348_0041,CP069348,none
CP069348_0042,CP069348,none
CP069348_0043,CP069348,none
CP069348_0044,CP069348,none
CP069348_0045,CP069348,none
CP069348_0046,CP069348,none
CP069348_0047,CP069348,none
CP069348_0048,CP069348,none
CP069348_0049,CP069348,none
CP069348_0050,CP069348,none
CP069348_0051,CP069348,none
CP069348_0052,CP069348,none
CP069348_0053,CP069348,none
CP069348_0054,CP069348,none
CP069348_0055,CP069348,none
CP069348_0056,CP069348,none
CP069348_0057,CP069348,none
CP069348_0058,CP069348,none
CP069348_0059,CP069348,none
CP069348_0060,CP069348,none
CP069348_0061,CP069348,none
CP069348_0062,CP069348,none
CP069348_0063,CP069348,none
CP069348_0064,CP069348,none
CP069348_0065,CP069348,none
CP069348_0066,CP069348,none
CP069348_0067,CP069348,none
CP069348_0068,CP069348,none
CP069348_0069,CP069348,none
CP069348_0070,CP069348,none
CP069348_0071,CP069348,none
CP069348_0072,CP069348,none
CP069348_0073,CP069348,none
CP069348_0074,CP069348,none
CP069348_0075,CP069348,none
CP069348_0076,CP069348,none
CP069348_0077,CP069348,none
CP069348_0078,CP069348,none
CP069348_0079,CP069348,none
CP069348_0080,CP069348,none
CP069348_0081,CP069348,none
CP069348_0082,CP069348,none
CP069348_0083,CP069348,none
CP069348_0084,CP069348,none
CP069348_0085,CP069348,none
CP069348_0086,CP069348,none
CP069348_0087,CP069348,none
CP069348_0088,CP069348,none
CP069348_0089,CP069348,none
CP069348_0090,CP069348,none
CP069348_0091,CP069348,none
CP069348_0092,CP069348,none
CP069348_0093,CP069348,none
CP069348_0094,CP069348,none
CP069348_0095,CP069348,none
CP069348_0096,CP069348,none
CP069348_0097,CP069348,none
CP069348_0098,CP069348,none
CP069348_0099,CP069348,none
CP069348_0100,CP069348,none
CP069348_0101,CP069348,none
CP069348_0102,CP069348,none
